"ARTICLE_DOI","AUTHOR_PRODUCTIVITY"
"10.1016/j.molcel.2017.11.002",5
"10.1073/pnas.1701997114",104
"10.1016/j.neuroimage.2016.12.056",175
"10.1016/j.neuroimage.2017.05.030",212
"10.1371/journal.pntd.0006050",8
"10.1038/sdata.2017.55",43
"10.1038/s41467-017-00377-y",7
"10.1534/g3.115.022301",4
"10.1074/jbc.m117.780791",11
"10.1186/s12862-017-0949-4",11
"10.1534/genetics.115.179846",17
"10.1186/s13059-017-1170-x",11
"10.1016/j.cub.2017.10.008",29
"10.1073/pnas.1619434114",17
"10.1002/gepi.22039",36
"10.1523/jneurosci.2344-17.2017",13
"10.1186/s13395-017-0146-6",30
"10.1016/j.cub.2017.06.076",24
"10.1093/nar/gkx070",33
"10.1093/molbev/msx154",50
"10.1093/bioinformatics/btw177",93
"10.1016/j.epidem.2017.01.003",20
"10.1371/journal.pcbi.1005362",3
"10.1007/s11032-017-0635-7",9
"10.1186/s12864-016-2855-3",7
"10.1261/rna.062000.117",10
"10.1038/s41598-017-07354-x",30
"10.1038/s41562-017-0069",21
"10.1186/s12859-016-1004-y",12
"10.1371/journal.pcbi.1004983",12
"10.1038/ncomms15162",18
"10.1007/s10841-016-9869-7",39
"10.1371/journal.pone.0172500",78
"10.1104/pp.16.00421",57
"10.1093/pcp/pcx119",24
"10.1371/journal.pone.0154122",5
"10.1038/s41598-017-17618-1",8
"10.7554/elife.22749",5
"10.1021/acssynbio.7b00124",20
"10.1105/tpc.16.00428",6
"10.1016/j.mib.2016.03.013",37
"10.3389/fgene.2016.00217",40
"10.1016/j.pbi.2017.04.023",56
"10.3389/fnhum.2017.00574",6
"10.1371/journal.pone.0179907",28
"10.1111/1365-2656.12695",34
"10.1016/j.neuroimage.2016.04.005",11
"10.1016/j.jhep.2016.12.025",36
"10.7554/elife.22848",34
"10.1038/ng.3835",39
"10.1021/acs.jpcb.6b00327",7
"10.1534/genetics.115.185132",22
"10.1039/c5mb00693g",8
"10.1186/s12915-017-0390-6",10
"10.1371/journal.pone.0182455",30
"10.1186/s13059-015-0837-4",22
"10.1101/gr.184184.114",15
"10.1002/gepi.21904",9
"10.1093/bioinformatics/btw245",15
"10.1038/nbt.4006",10
"10.1126/science.aam5852",36
"10.1093/molbev/msv141",7
"10.15252/embj.201796476",48
"10.1091/mbc.e15-12-0835",12
"10.1093/nar/gkx659",18
"10.1038/nn.4591",71
"10.1101/gr.219956.116",14
"10.1371/journal.pone.0179977",11
"10.1371/journal.pgen.1006583",16
"10.1098/rsob.160267",36
"10.1093/gigascience/gix047",12
"10.1534/g3.117.043885",60
"10.1007/s11538-014-0025-9",3
"10.1016/j.cell.2017.02.030",9
"10.1016/j.bbrc.2017.05.148",11
"10.1371/journal.pbio.2003143",34
"10.3389/fpls.2017.00447",148
"10.1371/journal.pcbi.1005647",57
"10.1371/journal.pone.0184126",12
"10.15252/msb.20145492",9
"10.7554/elife.19145",96
"10.1117/1.nph.4.3.031218",22
"10.1021/acssynbio.6b00080",28
"10.1038/s41467-017-01596-z",44
"10.1093/bioinformatics/btw663",11
"10.1371/journal.pgen.1006675",22
"10.1038/s41598-017-10396-w",8
"10.1126/scitranslmed.aar2444",33
"10.7554/elife.25235",22
"10.7554/elife.29688",16
"10.1016/j.celrep.2017.11.028",21
"10.1126/science.aan6516",15
"10.1038/nn.4404",126
"10.1016/j.celrep.2016.11.044",8
"10.1111/jnc.14144",6
"10.1371/journal.pone.0183151",64
"10.1097/mph.0000000000000552",28
"10.1534/g3.117.300069",14
"10.1186/s12868-017-0343-6",24
"10.1371/journal.pbio.1002388",10
"10.1016/j.ajhg.2017.04.015",18
"10.1016/j.jtbi.2017.06.036",58
"10.1107/s2059798317002534",6
"10.1093/bioinformatics/btw069",5
"10.1073/pnas.1709035114",9
"10.1371/journal.pgen.1007105",8
"10.1111/ecog.02070",22
"10.1523/jneurosci.3415-16.2017",30
"10.1016/j.neuron.2016.12.028",45
"10.1371/journal.pgen.1007068",4
"10.1007/s00251-016-0914-1",30
"10.1534/g3.117.043687",24
"10.1186/s12864-015-1961-y",9
"10.1093/cercor/bhw286",48
"10.1371/journal.ppat.1006358",6
"10.1016/j.ajhg.2017.04.002",41
"10.1371/journal.pcbi.1005501",4
"10.1038/ncomms12845",13
"10.7554/elife.19893",54
"10.1038/ismej.2017.107",60
"10.1105/tpc.17.00185",204
"10.1128/mbio.00345-16",3
"10.1534/genetics.116.198903",6
"10.1186/s13059-015-0804-0",5
"10.1371/journal.pbio.1002602",14
"10.1093/bioinformatics/btv408",10
"10.7554/elife.19428",3
"10.1038/srep42134",30
"10.1021/acs.jproteome.7b00068",6
"10.1152/jn.00951.2016",6
"10.1038/oncsis.2017.22",10
"10.1101/gr.212522.116",5
"10.1186/s12920-017-0289-7",4
"10.1098/rsif.2015.0140",5
"10.1093/infdis/jix329",14
"10.1186/s13059-017-1264-5",5
"10.1073/pnas.1705957114",138
"10.1177/1176934317699855",37
"10.1016/j.bpj.2017.08.034",20
"10.1074/jbc.m117.796441",8
"10.1371/journal.pgen.1006607",10
"10.1111/1462-2920.13420",7
"10.1038/s41598-017-16093-y",33
"10.1186/s13059-017-1193-3",168
"10.12688/f1000research.6827.3",12
"10.1534/g3.117.042283",4
"10.1016/j.cell.2017.09.018",10
"10.1016/j.celrep.2016.12.019",17
"10.1371/journal.pcbi.1005659",9
"10.1073/pnas.1702940114",4
