"PREPRINT_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/005397",TRUE,0.25,1,0,0,0,0,7
"10.1101/005413",TRUE,5.35,10,0,0,0,0,77
"10.1101/005439",TRUE,2.35,4,0,0,0,0,61
"10.1101/005405",TRUE,11.498,2,1,0,0,0,0
"10.1101/005462",TRUE,26.848,16,2,0,0,0,0
"10.1101/005470",TRUE,1.75,2,0,0,0,0,7
"10.1101/005454",TRUE,1,1,0,0,0,0,27
"10.1101/005538",FALSE,0,0,0,0,0,0,0
"10.1101/005546",TRUE,1,3,0,0,0,0,0
"10.1101/005553",TRUE,24.58,28,2,0,0,0,5
"10.1101/005504",TRUE,3.25,8,0,0,0,0,6
"10.1101/005496",TRUE,1.25,2,0,0,0,0,8
"10.1101/005512",TRUE,7.25,1,1,0,0,0,0
"10.1101/005579",TRUE,15.5,21,1,0,0,0,0
"10.1101/005587",TRUE,0.5,2,0,0,0,0,0
"10.1101/005603",TRUE,25.25,15,2,0,0,5,2
"10.1101/005561",TRUE,12.748,4,1,0,0,0,0
"10.1101/005611",TRUE,29.274,30,2,0,0,0,6
"10.1101/005629",TRUE,2.75,7,0,0,0,0,21
"10.1101/005645",TRUE,1.75,5,0,0,0,0,5
"10.1101/005652",TRUE,15.348,11,1,0,0,0,40
"10.1101/005637",TRUE,6.1,12,0,0,0,0,0
"10.1101/005660",TRUE,0.5,2,0,0,0,0,33
"10.1101/005686",TRUE,8.9,19,0,0,0,0,10
"10.1101/005694",TRUE,4.35,8,0,0,0,0,0
"10.1101/005702",TRUE,2.25,5,0,0,0,0,10
"10.1101/005710",TRUE,0.5,2,0,0,0,0,0
"10.1101/005728",TRUE,0.75,3,0,0,0,0,0
"10.1101/005736",TRUE,11.748,5,1,0,0,0,35
"10.1101/005249",TRUE,11.498,3,1,0,0,0,11
"10.1101/005793",TRUE,12.598,5,1,0,0,0,10
"10.1101/005751",TRUE,10.748,2,1,0,0,0,2
"10.1101/005819",TRUE,21.198,22,1,0,0,0,1
"10.1101/005835",TRUE,0.25,1,0,0,0,0,0
"10.1101/005892",TRUE,9.5,4,1,0,0,0,5
"10.1101/005777",TRUE,3.1,6,0,0,0,0,3
"10.1101/005868",TRUE,1.5,4,0,0,0,0,44
"10.1101/003889",TRUE,0.25,1,0,0,0,0,0
"10.1101/005918",TRUE,13.096,4,2,0,0,0,15
"10.1101/005900",TRUE,14.5,12,1,0,0,0,10
"10.1101/005926",TRUE,4.25,9,0,0,0,0,15
"10.1101/005934",TRUE,5.35,14,0,0,0,0,0
"10.1101/005942",TRUE,1,4,0,0,0,0,1
"10.1101/005967",TRUE,6.5,13,0,0,0,0,21
"10.1101/005983",TRUE,15.07,5,2,0,0,0,5
"10.1101/005991",TRUE,16.846,11,2,0,0,0,73
"10.1101/006015",TRUE,27.446,32,2,0,0,0,60
"10.1101/006023",TRUE,16.83,9,2,0,0,0,0
"10.1101/006049",TRUE,1,1,0,0,0,0,0
"10.1101/006056",TRUE,9.5,4,1,0,0,0,0
"10.1101/006031",TRUE,10.5,7,1,0,0,0,1
"10.1101/005876",TRUE,5.1,11,0,0,0,0,11
"10.1101/006072",TRUE,1.75,4,0,0,0,0,0
"10.1101/006080",TRUE,1,3,0,0,0,0,0
"10.1101/006064",TRUE,21.2,14,1,1,0,0,52
"10.1101/006106",TRUE,4.3,6,0,0,0,0,0
"10.1101/006122",TRUE,35.448,47,1,0,0,0,23
"10.1101/006130",TRUE,15.498,10,1,0,0,0,17
"10.1101/006148",TRUE,24.598,28,1,0,0,0,32
"10.1101/006155",TRUE,12.5,23,0,0,0,0,0
"10.1101/006163",TRUE,18.998,22,1,0,0,0,0
"10.1101/006205",TRUE,11.998,5,1,0,0,0,8
"10.1101/006221",TRUE,18.748,19,1,0,0,0,2
"10.1101/006171",TRUE,22.598,25,1,0,0,0,15
"10.1101/006270",TRUE,7.7,14,0,0,0,0,0
"10.1101/006288",TRUE,0.5,2,0,0,0,0,0
"10.1101/006312",TRUE,3.6,7,0,0,0,0,1
"10.1101/006338",TRUE,35.752,51,2,0,0,0,2
