"PREPRINT_DOI","ARTICLE_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/056937","10.1016/j.gdata.2016.05.012",FALSE,0,0,0,0,0,0,0
"10.1101/027342","10.1093/bioinformatics/btw018",TRUE,9.15,17,0,0,0,0,203
"10.1101/139295","10.1371/journal.pone.0190238",TRUE,7.6,14,0,0,0,0,22
"10.1101/103283","10.3389/fmolb.2017.00040",TRUE,0.75,2,0,0,0,0,22
"10.1101/134718","10.1101/gr.224626.117",TRUE,15.5,14,1,0,0,0,37
"10.1101/140731","10.1038/nature24634",TRUE,10.75,22,0,0,0,0,67
"10.1101/184317","10.1101/gad.306324.117",TRUE,6.1,13,0,0,0,0,43
"10.1101/162677","10.1038/s41467-017-02144-5",TRUE,1.75,3,0,0,0,0,63
"10.1101/085126","10.1086/693856",TRUE,21.25,43,0,0,0,0,104
"10.1101/124271","10.1021/acssynbio.7b00112",TRUE,2.95,6,0,0,0,0,86
"10.1101/066050","10.1128/msystems.00117-16",TRUE,12.3,24,0,0,0,0,55
"10.1101/135913","10.1038/s41598-017-10697-0",TRUE,11.05,21,0,0,0,0,28
"10.1101/169953","10.1073/pnas.1619897114",TRUE,3.25,7,0,0,0,0,40
"10.1101/128686","10.1534/g3.117.300141",TRUE,48.93,9,1,5,0,0,42
"10.1101/033605","10.1093/jxb/erw096",TRUE,4.1,7,0,0,0,0,39
"10.1101/006056","10.1186/1471-2164-15-1074",TRUE,1.5,4,0,0,0,0,38
"10.1101/055178","10.1093/nar/gkx137",TRUE,5.25,9,0,0,0,0,36
"10.1101/105403","10.1523/jneurosci.0323-17.2017",TRUE,49.67,81,1,0,0,0,48
"10.1101/224949","10.1162/jocn_a_01142",TRUE,52.75,5,0,7,0,0,32
"10.1101/074567","10.1038/s41467-017-00249-5",TRUE,56.6,10,0,7,0,0,182
"10.1101/095380","10.1111/acel.12626",TRUE,14.15,23,0,0,0,0,57
"10.1101/073981","10.1088/1478-3975/aa5fc3",TRUE,1,4,0,0,0,0,11
"10.1101/018705","10.1371/journal.pone.0143196",TRUE,2.85,4,0,0,0,0,60
"10.1101/020875","10.1038/ng.3471",TRUE,48.6,73,0,1,0,0,186
